heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2017-291,Belinjau,Gnetum gnemon L.,,https://heritagetrees.nparks.gov.sg/ht-2017-291/,103.81569209959095,1.3191540002678532
HT 2020-312,Mango,Mangifera indica L.,Kranji Close/Kranji Road State Land (opposite junction),https://heritagetrees.nparks.gov.sg/ht-2020-312/,103.75648119221043,1.4295435101621403
HT 2023-323,,Adenanthera malayana subsp. malayana Kosterm.,,https://heritagetrees.nparks.gov.sg/ht-2023-323/,103.81034599961141,1.3142434799015315
HT 2013-216,Nyatoh Puteh,Palaquium obovatum var. obovatum (Griff.) Engl.,"Singapore Botanic Gardens, along Evolution Garden Walk",https://heritagetrees.nparks.gov.sg/ht-2013-216/,103.8162205997852,1.31693305989331
HT 2003-65,,Ficus kerkhovenii Valeton,,https://heritagetrees.nparks.gov.sg/ht-2003-65/,103.97585110019298,1.391298060319167
HT 2018-298,Brazilian Ironwood,Libidibia ferrea (Mart. ex Tul.) L. P. Queiroz,Mount Emily Park,https://heritagetrees.nparks.gov.sg/ht-2018-298/,103.8480095921025,1.3043065725825542
HT 2016-274,Mango,Mangifera indica L.,Chay Yan St State Land,https://heritagetrees.nparks.gov.sg/ht-2016-274/,103.83120733190509,1.282572602160149
HT 2001-14,East African Mahogany,Khaya nyasica,Guillemard Road Open Space,https://heritagetrees.nparks.gov.sg/ht-2001-14/,103.89246122929704,1.3147544935618207
HT 2017-288,Big-leaved Podocarp,Podocarpus polystachyus R.Br. ex Endl.,"Sembawang Park, next to Beaulieu House",https://heritagetrees.nparks.gov.sg/ht-2017-288/,103.83715993176315,1.4633137683155377
HT 2003-109,Pukul Lima,Samanea saman (Jacq.) Merr.,"Holland Road, near junction with Belmont Road",https://heritagetrees.nparks.gov.sg/ht-2003-109/,103.79872869967481,1.3128434901022534
